State,Interest
Tamil Nadu,100
Karnataka,92
Puducherry,85
Telangana,71
Goa,65
Andhra Pradesh,64
Andaman and Nicobar Islands,53
Maharashtra,50
Kerala,41
West Bengal,40
Odisha,36
Delhi,35
Jharkhand,29
Chhattisgarh,27
Daman and Diu,26
Sikkim,24
Dadra and Nagar Haveli,22
Haryana,22
Meghalaya,20
Tripura,18
Uttar Pradesh,18
Bihar,18
Assam,18
Chandigarh,17
Gujarat,16
Uttarakhand,14
Jammu and Kashmir,11
Punjab,10
Nagaland,10
Madhya Pradesh,10
Manipur,9
Arunachal Pradesh,8
Mizoram,8
Rajasthan,7
Himachal Pradesh,7
Lakshadweep,
