Week,momos: (India),jalebi: (India),panipuri: (India),samosa: (India),drinking water: (India)
2019-01-06,8,38,2,21,11
2019-01-13,7,32,2,21,11
2019-01-20,8,35,2,20,11
2019-01-27,9,32,3,19,10
2019-02-03,7,29,2,18,10
2019-02-10,7,26,2,18,9
2019-02-17,7,25,2,17,11
2019-02-24,8,24,1,15,10
2019-03-03,6,26,1,16,10
2019-03-10,7,25,2,14,11
2019-03-17,7,32,2,19,13
2019-03-24,6,26,2,14,11
2019-03-31,7,26,2,15,10
2019-04-07,6,25,2,15,11
2019-04-14,7,24,2,17,10
2019-04-21,6,26,2,18,12
2019-04-28,5,24,2,17,11
2019-05-05,6,25,2,21,11
2019-05-12,8,26,2,21,11
2019-05-19,5,30,2,19,11
2019-05-26,6,26,2,18,13
2019-06-02,7,25,3,16,11
2019-06-09,6,23,2,13,13
2019-06-16,8,25,3,16,10
2019-06-23,8,24,3,16,10
2019-06-30,8,22,3,17,11
2019-07-07,7,20,2,17,11
2019-07-14,7,22,2,16,11
2019-07-21,9,22,3,18,14
2019-07-28,7,23,3,19,10
2019-08-04,9,22,3,19,10
2019-08-11,9,26,2,17,11
2019-08-18,8,21,4,17,12
2019-08-25,8,27,3,16,13
2019-09-01,8,23,3,16,11
2019-09-08,7,21,4,16,12
2019-09-15,8,23,3,16,12
2019-09-22,8,21,3,17,11
2019-09-29,7,18,3,14,11
2019-10-06,7,33,3,15,11
2019-10-13,7,20,3,15,11
2019-10-20,7,22,3,15,10
2019-10-27,7,19,4,15,10
2019-11-03,8,18,3,15,11
2019-11-10,8,19,4,14,13
2019-11-17,7,19,3,15,14
2019-11-24,8,18,3,16,14
2019-12-01,7,18,3,16,11
2019-12-08,8,18,4,16,11
2019-12-15,7,16,4,15,11
2019-12-22,9,17,4,17,11
2019-12-29,10,17,4,17,11
2020-01-05,7,15,3,15,12
2020-01-12,7,16,3,14,11
2020-01-19,8,16,4,18,13
2020-01-26,7,17,4,14,12
2020-02-02,6,14,4,16,11
2020-02-09,7,13,4,16,12
2020-02-16,7,15,5,19,13
2020-02-23,7,14,4,27,11
2020-03-01,8,15,4,23,13
2020-03-08,7,16,4,22,13
2020-03-15,9,14,4,19,14
2020-03-22,15,18,7,27,16
2020-03-29,35,25,14,54,17
2020-04-05,62,54,21,80,17
2020-04-12,63,93,24,89,21
2020-04-19,59,100,21,85,17
2020-04-26,47,87,16,84,20
2020-05-03,38,63,15,73,21
2020-05-10,32,49,11,59,20
2020-05-17,25,38,10,49,22
2020-05-24,20,34,10,40,19
2020-05-31,20,24,8,37,19
2020-06-07,19,22,7,30,21
2020-06-14,15,26,7,25,18
2020-06-21,16,24,6,26,18
2020-06-28,14,20,7,30,19
2020-07-05,16,24,7,27,19
2020-07-12,14,18,6,26,18
2020-07-19,14,20,6,25,18
2020-07-26,15,23,5,22,18
2020-08-02,14,23,5,22,15
2020-08-09,12,26,6,20,17
2020-08-16,13,22,5,21,18
2020-08-23,13,19,5,22,17
2020-08-30,14,17,4,22,17
2020-09-06,12,17,6,18,18
2020-09-13,12,17,4,18,15
2020-09-20,11,15,5,20,16
2020-09-27,11,13,5,19,15
2020-10-04,10,13,5,16,14
2020-10-11,9,14,4,16,15
2020-10-18,9,20,4,16,14
2020-10-25,11,27,4,17,15
2020-11-01,10,13,4,15,14
2020-11-08,10,23,5,17,14
2020-11-15,11,15,5,15,16
2020-11-22,13,12,5,16,14
2020-11-29,11,13,4,16,17
2020-12-06,12,14,5,15,14
2020-12-13,12,14,4,15,14
2020-12-20,14,15,5,18,16
2020-12-27,13,16,5,19,14
2021-01-03,13,17,4,16,16
2021-01-10,12,16,5,16,14
2021-01-17,13,15,4,18,13
2021-01-24,12,19,6,17,14
2021-01-31,11,14,6,16,16
2021-02-07,10,14,4,16,13
2021-02-14,10,14,4,15,15
2021-02-21,10,17,5,14,15
2021-02-28,11,15,4,13,15
2021-03-07,9,15,5,16,16
2021-03-14,9,13,4,14,16
2021-03-21,11,13,6,17,16
2021-03-28,10,14,5,18,17
2021-04-04,11,13,5,15,16
2021-04-11,9,13,4,18,16
2021-04-18,11,12,4,19,22
2021-04-25,11,12,4,18,19
2021-05-02,13,16,6,24,20
2021-05-09,16,20,6,27,21
2021-05-16,16,21,6,27,19
2021-05-23,15,23,6,26,21
2021-05-30,16,20,6,23,19
2021-06-06,12,18,6,21,15
2021-06-13,12,18,6,21,16
2021-06-20,13,17,5,18,15
2021-06-27,13,18,4,19,15
2021-07-04,12,16,4,17,17
2021-07-11,11,19,4,18,14
2021-07-18,11,20,5,19,14
2021-07-25,12,18,5,18,14
2021-08-01,10,17,4,17,13
2021-08-08,10,18,5,17,13
2021-08-15,10,25,4,16,12
2021-08-22,12,16,5,16,15
2021-08-29,11,14,5,14,14
2021-09-05,10,16,5,16,13
2021-09-12,12,17,4,14,14
2021-09-19,11,14,5,15,13
2021-09-26,10,17,4,14,13
2021-10-03,8,15,4,14,12
2021-10-10,10,26,4,14,12
2021-10-17,11,14,5,14,11
2021-10-24,12,17,5,12,11
2021-10-31,12,13,4,14,11
2021-11-07,10,13,5,13,13
2021-11-14,11,13,5,14,13
2021-11-21,11,14,4,15,14
2021-11-28,11,13,4,14,12
2021-12-05,12,12,5,14,12
2021-12-12,12,13,5,15,14
2021-12-19,13,14,5,15,11
2021-12-26,12,15,4,16,10
