Category: Food & Drink

Week,dragon fruit: (India)
2019-01-06,16
2019-01-13,17
2019-01-20,15
2019-01-27,17
2019-02-03,17
2019-02-10,18
2019-02-17,20
2019-02-24,14
2019-03-03,20
2019-03-10,15
2019-03-17,15
2019-03-24,15
2019-03-31,12
2019-04-07,13
2019-04-14,16
2019-04-21,13
2019-04-28,15
2019-05-05,16
2019-05-12,16
2019-05-19,15
2019-05-26,17
2019-06-02,14
2019-06-09,13
2019-06-16,13
2019-06-23,14
2019-06-30,14
2019-07-07,20
2019-07-14,19
2019-07-21,24
2019-07-28,29
2019-08-04,22
2019-08-11,24
2019-08-18,30
2019-08-25,30
2019-09-01,31
2019-09-08,37
2019-09-15,45
2019-09-22,43
2019-09-29,43
2019-10-06,36
2019-10-13,40
2019-10-20,41
2019-10-27,43
2019-11-03,36
2019-11-10,44
2019-11-17,45
2019-11-24,40
2019-12-01,39
2019-12-08,37
2019-12-15,41
2019-12-22,41
2019-12-29,37
2020-01-05,34
2020-01-12,27
2020-01-19,26
2020-01-26,27
2020-02-02,26
2020-02-09,24
2020-02-16,25
2020-02-23,25
2020-03-01,27
2020-03-08,24
2020-03-15,22
2020-03-22,14
2020-03-29,14
2020-04-05,14
2020-04-12,16
2020-04-19,16
2020-04-26,17
2020-05-03,17
2020-05-10,18
2020-05-17,16
2020-05-24,18
2020-05-31,22
2020-06-07,21
2020-06-14,23
2020-06-21,26
2020-06-28,24
2020-07-05,28
2020-07-12,27
2020-07-19,39
2020-07-26,46
2020-08-02,35
2020-08-09,32
2020-08-16,37
2020-08-23,37
2020-08-30,41
2020-09-06,39
2020-09-13,40
2020-09-20,34
2020-09-27,34
2020-10-04,35
2020-10-11,32
2020-10-18,31
2020-10-25,32
2020-11-01,31
2020-11-08,29
2020-11-15,33
2020-11-22,30
2020-11-29,27
2020-12-06,28
2020-12-13,36
2020-12-20,35
2020-12-27,35
2021-01-03,35
2021-01-10,28
2021-01-17,100
2021-01-24,49
2021-01-31,38
2021-02-07,38
2021-02-14,34
2021-02-21,38
2021-02-28,36
2021-03-07,37
2021-03-14,30
2021-03-21,34
2021-03-28,33
2021-04-04,39
2021-04-11,34
2021-04-18,34
2021-04-25,32
2021-05-02,34
2021-05-09,33
2021-05-16,32
2021-05-23,35
2021-05-30,40
2021-06-06,42
2021-06-13,37
2021-06-20,42
2021-06-27,47
2021-07-04,49
2021-07-11,51
2021-07-18,45
2021-07-25,54
2021-08-01,48
2021-08-08,43
2021-08-15,41
2021-08-22,41
2021-08-29,44
2021-09-05,45
2021-09-12,42
2021-09-19,38
2021-09-26,39
2021-10-03,39
2021-10-10,48
2021-10-17,43
2021-10-24,44
2021-10-31,38
2021-11-07,43
2021-11-14,42
2021-11-21,36
2021-11-28,31
2021-12-05,33
2021-12-12,34
2021-12-19,32
2021-12-26,31
