State,Interest
Gujarat,100
Rajasthan,96
Maharashtra,62
Madhya Pradesh,59
Delhi,44
Chhattisgarh,42
Haryana,34
Karnataka,33
Uttarakhand,30
Goa,27
Jharkhand,26
Uttar Pradesh,23
Punjab,22
Telangana,20
Assam,17
West Bengal,17
Himachal Pradesh,16
Bihar,13
Odisha,13
Chandigarh,12
Tamil Nadu,10
Jammu and Kashmir,9
Andhra Pradesh,9
Kerala,7
Daman and Diu,
Dadra and Nagar Haveli,
Sikkim,
Andaman and Nicobar Islands,
Nagaland,
Arunachal Pradesh,
Tripura,
Meghalaya,
Mizoram,
Manipur,
Puducherry,
Lakshadweep,
