Category: Food & Drink

Week,mango: (India)
2019-01-06,10
2019-01-13,10
2019-01-20,11
2019-01-27,10
2019-02-03,12
2019-02-10,12
2019-02-17,12
2019-02-24,11
2019-03-03,13
2019-03-10,14
2019-03-17,17
2019-03-24,18
2019-03-31,22
2019-04-07,27
2019-04-14,29
2019-04-21,35
2019-04-28,39
2019-05-05,42
2019-05-12,48
2019-05-19,43
2019-05-26,45
2019-06-02,40
2019-06-09,37
2019-06-16,31
2019-06-23,30
2019-06-30,24
2019-07-07,23
2019-07-14,20
2019-07-21,19
2019-07-28,18
2019-08-04,14
2019-08-11,14
2019-08-18,13
2019-08-25,12
2019-09-01,10
2019-09-08,12
2019-09-15,11
2019-09-22,11
2019-09-29,11
2019-10-06,11
2019-10-13,10
2019-10-20,10
2019-10-27,9
2019-11-03,10
2019-11-10,10
2019-11-17,13
2019-11-24,11
2019-12-01,11
2019-12-08,9
2019-12-15,9
2019-12-22,9
2019-12-29,11
2020-01-05,10
2020-01-12,10
2020-01-19,12
2020-01-26,10
2020-02-02,12
2020-02-09,13
2020-02-16,12
2020-02-23,15
2020-03-01,13
2020-03-08,13
2020-03-15,15
2020-03-22,15
2020-03-29,19
2020-04-05,29
2020-04-12,44
2020-04-19,62
2020-04-26,79
2020-05-03,93
2020-05-10,99
2020-05-17,99
2020-05-24,100
2020-05-31,85
2020-06-07,73
2020-06-14,61
2020-06-21,53
2020-06-28,43
2020-07-05,39
2020-07-12,32
2020-07-19,28
2020-07-26,25
2020-08-02,20
2020-08-09,18
2020-08-16,16
2020-08-23,17
2020-08-30,15
2020-09-06,14
2020-09-13,15
2020-09-20,14
2020-09-27,12
2020-10-04,13
2020-10-11,12
2020-10-18,12
2020-10-25,12
2020-11-01,12
2020-11-08,12
2020-11-15,12
2020-11-22,14
2020-11-29,12
2020-12-06,12
2020-12-13,11
2020-12-20,12
2020-12-27,12
2021-01-03,12
2021-01-10,13
2021-01-17,13
2021-01-24,14
2021-01-31,13
2021-02-07,15
2021-02-14,14
2021-02-21,16
2021-02-28,20
2021-03-07,19
2021-03-14,25
2021-03-21,29
2021-03-28,34
2021-04-04,39
2021-04-11,46
2021-04-18,49
2021-04-25,55
2021-05-02,68
2021-05-09,81
2021-05-16,83
2021-05-23,88
2021-05-30,89
2021-06-06,80
2021-06-13,74
2021-06-20,56
2021-06-27,50
2021-07-04,39
2021-07-11,31
2021-07-18,26
2021-07-25,21
2021-08-01,17
2021-08-08,18
2021-08-15,15
2021-08-22,16
2021-08-29,14
2021-09-05,13
2021-09-12,14
2021-09-19,13
2021-09-26,13
2021-10-03,14
2021-10-10,12
2021-10-17,13
2021-10-24,11
2021-10-31,10
2021-11-07,12
2021-11-14,12
2021-11-21,13
2021-11-28,12
2021-12-05,13
2021-12-12,12
2021-12-19,12
2021-12-26,10
