Week,Moru: Tamil and Malayalam,Chaas: Gujarati,Ghol: Rajasthani,Majjiga: Telugu,Laban: Bengali
2019-01-06,37,3,10,10,0
2019-01-13,14,3,7,7,0
2019-01-20,53,13,3,7,7
2019-01-27,34,13,7,7,0
2019-02-03,30,23,17,30,0
2019-02-10,23,10,3,17,3
2019-02-17,20,20,0,23,3
2019-02-24,43,29,7,13,3
2019-03-03,36,23,10,27,0
2019-03-10,36,26,7,16,3
2019-03-17,27,43,0,33,0
2019-03-24,29,73,13,32,0
2019-03-31,43,33,10,23,0
2019-04-07,23,40,7,40,3
2019-04-14,38,21,7,31,4
2019-04-21,30,37,10,31,4
2019-04-28,36,42,13,13,0
2019-05-05,30,53,7,13,3
2019-05-12,17,41,14,34,0
2019-05-19,32,32,16,10,0
2019-05-26,20,52,10,30,0
2019-06-02,16,38,10,29,0
2019-06-09,32,45,6,19,0
2019-06-16,22,13,13,29,0
2019-06-23,44,22,6,9,3
2019-06-30,28,19,9,16,0
2019-07-07,36,23,7,33,0
2019-07-14,33,29,7,23,0
2019-07-21,27,23,7,17,0
2019-07-28,34,7,10,17,4
2019-08-04,34,3,0,21,0
2019-08-11,38,24,10,21,0
2019-08-18,37,20,14,20,0
2019-08-25,61,27,0,17,0
2019-09-01,14,20,14,27,0
2019-09-08,65,20,10,14,0
2019-09-15,23,20,10,7,0
2019-09-22,23,46,3,30,0
2019-09-29,44,17,0,17,0
2019-10-06,58,54,3,17,0
2019-10-13,33,26,7,20,0
2019-10-20,47,10,7,17,0
2019-10-27,21,14,7,24,0
2019-11-03,36,26,3,16,0
2019-11-10,23,20,7,23,0
2019-11-17,10,23,3,30,4
2019-11-24,27,13,7,23,0
2019-12-01,24,17,7,14,0
2019-12-08,25,10,4,7,0
2019-12-15,25,25,7,36,7
2019-12-22,39,21,4,14,4
2019-12-29,32,31,7,21,0
2020-01-05,33,33,0,20,0
2020-01-12,48,16,6,16,3
2020-01-19,43,13,3,13,0
2020-01-26,36,16,13,33,0
2020-02-02,33,23,16,36,0
2020-02-09,23,29,16,3,3
2020-02-16,33,50,7,23,0
2020-02-23,30,33,3,26,3
2020-03-01,16,29,10,16,3
2020-03-08,40,23,20,23,0
2020-03-15,33,46,20,17,0
2020-03-22,54,27,7,54,0
2020-03-29,59,58,14,17,0
2020-04-05,61,42,29,46,0
2020-04-12,57,57,36,54,0
2020-04-19,54,100,7,47,0
2020-04-26,53,59,35,56,7
2020-05-03,50,57,11,50,11
2020-05-10,32,78,22,36,0
2020-05-17,18,39,14,43,0
2020-05-24,39,42,25,32,0
2020-05-31,37,47,10,17,0
2020-06-07,33,40,17,37,3
2020-06-14,59,20,16,36,0
2020-06-21,40,13,27,27,0
2020-06-28,36,42,13,26,0
2020-07-05,55,16,10,30,3
2020-07-12,23,19,6,20,0
2020-07-19,23,40,13,24,0
2020-07-26,20,29,0,27,0
2020-08-02,29,20,10,30,7
2020-08-09,48,35,9,20,0
2020-08-16,19,13,6,17,3
2020-08-23,48,26,10,16,0
2020-08-30,86,25,16,13,3
2020-09-06,31,13,16,10,9
2020-09-13,41,9,9,19,3
2020-09-20,35,18,12,18,0
2020-09-27,24,15,12,19,0
2020-10-04,31,27,18,19,0
2020-10-11,37,31,12,28,0
2020-10-18,29,16,9,23,0
2020-10-25,36,23,6,17,0
2020-11-01,31,19,3,6,0
2020-11-08,28,28,11,15,0
2020-11-15,26,29,7,11,0
2020-11-22,24,3,14,17,0
2020-11-29,44,17,17,17,0
2020-12-06,44,20,13,7,0
2020-12-13,40,20,13,17,3
2020-12-20,14,31,17,11,0
2020-12-27,21,10,7,18,0
2021-01-03,19,19,16,7,0
2021-01-10,14,21,3,18,0
2021-01-17,20,17,3,10,3
2021-01-24,47,22,4,15,0
2021-01-31,14,38,10,4,0
2021-02-07,40,20,23,14,0
2021-02-14,31,30,14,14,0
2021-02-21,24,37,10,35,0
2021-02-28,27,70,10,14,3
2021-03-07,24,24,21,28,0
2021-03-14,38,63,22,19,3
2021-03-21,17,75,10,38,7
2021-03-28,33,54,22,19,4
2021-04-04,28,38,10,14,14
2021-04-11,27,48,24,28,0
2021-04-18,27,51,24,31,0
2021-04-25,20,30,10,14,0
2021-05-02,25,57,21,29,0
2021-05-09,25,40,14,15,7
2021-05-16,25,42,28,33,11
2021-05-23,18,29,46,33,7
2021-05-30,42,39,21,47,4
2021-06-06,25,25,7,18,0
2021-06-13,37,24,10,21,7
2021-06-20,30,37,7,20,0
2021-06-27,27,31,3,10,0
2021-07-04,10,17,17,3,7
2021-07-11,20,27,17,20,0
2021-07-18,27,30,3,3,0
2021-07-25,32,19,10,16,0
2021-08-01,22,10,3,7,3
2021-08-08,19,26,10,0,0
2021-08-15,39,13,7,17,0
2021-08-22,25,32,4,7,0
2021-08-29,24,21,76,11,0
2021-09-05,33,11,7,19,0
2021-09-12,18,26,11,15,0
2021-09-19,20,20,14,7,0
2021-09-26,17,20,3,14,0
2021-10-03,21,21,11,11,4
2021-10-10,23,30,15,4,0
2021-10-17,22,29,0,8,4
2021-10-24,29,22,18,11,4
2021-10-31,20,29,8,17,0
2021-11-07,27,4,8,12,0
2021-11-14,26,15,8,15,0
2021-11-21,19,26,11,19,0
2021-11-28,36,18,7,15,4
2021-12-05,27,19,8,16,0
2021-12-12,32,24,0,24,4
2021-12-19,31,16,12,16,0
2021-12-26,15,22,15,19,4
