State,Interest
Odisha,100
Assam,74
Jharkhand,52
Tripura,45
West Bengal,41
Andaman and Nicobar Islands,29
Bihar,14
Arunachal Pradesh,14
Karnataka,13
Chhattisgarh,12
Meghalaya,12
Manipur,11
Nagaland,11
Puducherry,10
Maharashtra,9
Delhi,8
Chandigarh,7
Telangana,7
Gujarat,6
Andhra Pradesh,6
Uttarakhand,6
Goa,6
Uttar Pradesh,5
Tamil Nadu,4
Rajasthan,4
Haryana,4
Madhya Pradesh,4
Punjab,3
Himachal Pradesh,3
Kerala,2
Jammu and Kashmir,
Daman and Diu,
Dadra and Nagar Haveli,
Lakshadweep,
Mizoram,
Sikkim,
